ELE-0232;SIKADUR 32L 330GR PART B 1/4;UND;;41.50;2.5;2;0.5;ELECTRICIDAD;ACTIVO
ELE-0233;SELLADOR NITRO MARCA REINCO;UND;;38.00;4;4;0;ELECTRICIDAD;ACTIVO
ELE-0234;"SIFON EXTENSIBLE P/FREGADERO 1 1/2""";UND;;3.32;2;2;0;ELECTRICIDAD;ACTIVO
ELE-0235;SELLADOR S/C PEGA SOLD;UND;;39.00;4;4;0;ELECTRICIDAD;ACTIVO
ELE-0236;STUCCO KRETO GRIS 10KL;SACO;;16.00;6;5;1;ELECTRICIDAD;ACTIVO
ELE-0237;"SIFON 2""";UND;;6.00;1;1;0;ELECTRICIDAD;ACTIVO
ELE-0238;SWITCH TP-LINK 12 PUERTOS;UND;;0;1;0;1;ELECTRICIDAD;ACTIVO
ELE-0239;SILICON BLANCO;TUBO;;11.61;25;21;4;ELECTRICIDAD;ACTIVO
ELE-0240;SOPORTE MULTIUSO ZINC;UND;;5.42;166;159;7;ELECTRICIDAD;ACTIVO
ELE-0241;SIKA ACRILTECHO ROJO;GALON;;138.00;1;1;0;ELECTRICIDAD;ACTIVO
MAT-0108;SOFITO CAUCHO EXTERIOR BASE INTERMEDIA;GALON;;45.00;100;71;29;MATERIALES;ACTIVO
MAT-0109;SELLADOR ABRACOL NITRO CONCENTRADO 1/4;UND;;19.00;4;4;0;MATERIALES;ACTIVO
MAT-0110;SACO POLVO MARMOL 1KG;UND;;1.52;1;1;0;MATERIALES;ACTIVO
MAT-0111;SELLADOR ACIDO QUIMIDAL LACA PREPARADA;LT;;40.00;0.25;0;0.25;MATERIALES;ACTIVO
ELE-0242;SELLADOR CONCENTRADO MADERA SELLIL;LT;;35.00;5.5;5;0.5;ELECTRICIDAD;ACTIVO
ELE-0243;SIFON TIPO ACORDEON LAVAMANOS;UND;;2.50;1;0;1;ELECTRICIDAD;ACTIVO
ELE-0244;SIRENA ELECTRONICA;UND;;0;1;0;1;ELECTRICIDAD;ACTIVO
ELE-0245;SENSOR;UND;;15.00;2;0;2;ELECTRICIDAD;ACTIVO
ELE-0246;SIFON LAVAMANOS ACERO;UND;;33.02;4;2;2;ELECTRICIDAD;ACTIVO
ELE-0247;SIERRA COPA ACERO;UND;;0.96;5;3;2;ELECTRICIDAD;ACTIVO
ELE-0248;SELLADORES GOMA SPRAY;UND;;0;3;0;3;ELECTRICIDAD;ACTIVO
ELE-0249;SACA BUJIAS;UND;;13.00;5;0;5;ELECTRICIDAD;ACTIVO
ELE-0250;SEGUETAS;UND;;4.30;5;0;2;ELECTRICIDAD;ACTIVO
ELE-0251;SOFITO BASE INTERMEDIA AV2000 NUEVO;GALON;;36.00;0;0;0;ELECTRICIDAD;ACTIVO
ELE-0252;SILICON ANTIHONGOS;TUBO;;5.98;3;3;0;ELECTRICIDAD;ACTIVO
ELE-0253;SEPARADOR CERAMICA;UND;;230.00;1;0;1;ELECTRICIDAD;ACTIVO
ELE-0254;SOFITO BASE PROFUNDA EXTERIOR AV2000;GALON;;35.32;0;0;0;ELECTRICIDAD;ACTIVO
ELE-0255;SACO POLIPROPILENO;UND;;12.62;1;1;0;ELECTRICIDAD;ACTIVO
MAT-0112;SELLACRIL SELLADOR ANTIALCALINO;UND;;24.31;1;1;0;MATERIALES;ACTIVO
MAT-0113;SILICONCRET SUPER MUESTRA;UND;;2.00;1;1;0;MATERIALES;ACTIVO
ELE-0256;SACO POLIPROPILENO;UND;;12.62;1;1;0;ELECTRICIDAD;ACTIVO
ELE-0257;TOBOS ALBAÑILERIA;UND;;15.00;3;1;2;ELECTRICIDAD;ACTIVO
ELE-0258;TORNILLOS 10X2;UND;;0.02;2;2;0;ELECTRICIDAD;ACTIVO
ELE-0259;TUERCAS 3/8;UND;;2.30;40;40;0;ELECTRICIDAD;ACTIVO
ELE-0260;TORNILLOS DRYWALL 6X1;CAJA;;6.70;105;5;100;ELECTRICIDAD;ACTIVO
ELE-0261;TINTA COLOR CARAMELO MULTILAC;UND;;13.00;3;0;3;ELECTRICIDAD;ACTIVO
ELE-0262;TABLILLAS;UND;;25.10;100;0;100;ELECTRICIDAD;ACTIVO
ELE-0263;TABLILLAS PARED LISAS;UND;;25.10;52;0;52;ELECTRICIDAD;ACTIVO
CON-0121;TIRADOR POMO;UND;;2.00;16;16;0;CONSUMIBLES;ACTIVO
CON-0122;TEE 1/2 ELECTRICIDAD;UND;;137.99;6;2;4;CONSUMIBLES;ACTIVO
CON-0123;TUBO 1/2 A/F X3MTRS;UND;;12.50;16;15;1;CONSUMIBLES;ACTIVO
PIN-0036;"TUBO 2""";UND;;12.50;3;3;0;PINTURA;ACTIVO
PIN-0037;TERMOS DE AGUA;UND;;35.00;4;2;0;PINTURA;ACTIVO
PIN-0038;TEFLON 3/4;UND;;3.36;4;4;0;PINTURA;ACTIVO
PIN-0039;TOALLAS DE MANOS;PAQ;;3.00;17;17;0;PINTURA;ACTIVO
PIN-0040;TEJAS HEXAGONAL ROJAS;UND;;0.80;690;690;0;PINTURA;ACTIVO
PIN-0041;TUBO NEGRO POLIETILENO;UND;;0;41;41;0;PINTURA;ACTIVO
PIN-0042;TUERCA HEXAGONAL 5/8-11MM;UND;;5.60;120;120;0;PINTURA;ACTIVO
CON-0124;TOMA CORRIENTE DOBLE EMPOTRAR;UND;;6.65;2;2;1;CONSUMIBLES;ACTIVO
